variant,evidence_file,baseline,unquantized,scope,transform,bits,permutation,module_count,parameter_count,weight_relative_mse_parameter_weighted,calibration_output_relative_mse_parameter_weighted,metadata_bits,adjacent_abs_cosine_before_mean,adjacent_abs_cosine_after_mean,input_adjacent_abs_cosine_before_mean,input_adjacent_abs_cosine_after_mean,output_adjacent_abs_cosine_before_mean,output_adjacent_abs_cosine_after_mean,perplexity,fp16_baseline_perplexity_same_protocol,perplexity_delta_vs_fp16,eval_input_tokens,eval_token_offset,eval_sequence_length,eval_seconds,input_tokens_per_second,calibration_tokens,calibration_samples_per_module,model,num_attention_heads,num_key_value_heads,uses_gqa,fake_quantization_only,packed_integer_kernel
qk_rope_pair_identity_q3_screen,runs\screen\qk_rope_pair_identity_q3.json,False,False,qk_rope_pair,identity,3,none,64,1073741824,0.08303103332495841,0.016389926037959707,0.0,,,,,,,3.9892194524935642,,,2048,0,2048,0.288158826995641,7107.191618429861,256,16,/home/wangmeiqi/zjh/meta-llama/Llama-2-7b-hf,32,32,False,True,False
qk_rope_pair_identity_q4_8192,runs\formal_8192\qk_rope_pair_identity_q4_8192.json,False,False,qk_rope_pair,identity,4,none,64,1073741824,0.015873003761245164,0.0029891653392652945,0.0,,,,,,,6.2193582717779865,6.195575096408451,0.02378317536953567,8192,0,2048,1.6023697340860963,5112.428065593905,512,32,/home/wangmeiqi/zjh/meta-llama/Llama-2-7b-hf,32,32,False,True,False
qproj_input_dct_q3_8192,runs\formal_8192\qproj_input_dct_q3_8192.json,False,False,q_proj_input,dct,3,none,32,536870912,0.07456417964231374,0.01763192494456866,0.0,,,,,,,6.229007354102511,6.195575096408451,0.03343225769406022,8192,0,2048,1.2064133289968595,6790.375904427135,512,32,/home/wangmeiqi/zjh/meta-llama/Llama-2-7b-hf,32,32,False,True,False
qproj_input_dct_q3_screen,runs\screen\qproj_input_dct_q3.json,False,False,q_proj_input,dct,3,none,32,536870912,0.07456417964231374,0.017530949009620673,0.0,,,,,,,3.954807515925886,,,2048,0,2048,0.31062981800641865,6593.056690899138,256,16,/home/wangmeiqi/zjh/meta-llama/Llama-2-7b-hf,32,32,False,True,False
qproj_input_dct_q4_8192,runs\formal_8192\qproj_input_dct_q4_8192.json,False,False,q_proj_input,dct,4,none,32,536870912,0.013685821080440457,0.0032393832522884473,0.0,,,,,,,6.203483023662901,6.195575096408451,0.007907927254450442,8192,0,2048,1.208802760927938,6776.9534160489575,512,32,/home/wangmeiqi/zjh/meta-llama/Llama-2-7b-hf,32,32,False,True,False
qproj_input_hadamard_q3_8192,runs\formal_8192\qproj_input_hadamard_q3_8192.json,False,False,q_proj_input,hadamard,3,none,32,536870912,0.07448182909931539,0.01762959252535143,0.0,,,,,,,6.239962058662256,6.195575096408451,0.044386962253804896,8192,0,2048,1.206674121087417,6788.908336426098,512,32,/home/wangmeiqi/zjh/meta-llama/Llama-2-7b-hf,32,32,False,True,False
qproj_input_hadamard_q3_screen,runs\screen\qproj_input_hadamard_q3.json,False,False,q_proj_input,hadamard,3,none,32,536870912,0.07448182909931539,0.017542006333154517,0.0,,,,,,,3.9480018717827825,,,2048,0,2048,0.30311399104539305,6756.534044953736,256,16,/home/wangmeiqi/zjh/meta-llama/Llama-2-7b-hf,32,32,False,True,False
qproj_input_identity_q3_8192,runs\formal_8192\qproj_input_identity_q3_8192.json,False,False,q_proj_input,identity,3,none,32,536870912,0.08310633011871371,0.018540004873103838,0.0,,,,,,,6.254414889530206,6.195575096408451,0.0588397931217548,8192,0,2048,1.1271872059442103,7267.648139368129,512,32,/home/wangmeiqi/zjh/meta-llama/Llama-2-7b-hf,32,32,False,True,False
qproj_input_identity_q3_screen,runs\screen\qproj_input_identity_q3.json,False,False,q_proj_input,identity,3,none,32,536870912,0.08310633011871371,0.01845492059998947,0.0,,,,,,,3.965037040066721,,,2048,0,2048,0.2844506480032578,7199.842975842137,256,16,/home/wangmeiqi/zjh/meta-llama/Llama-2-7b-hf,32,32,False,True,False
qproj_input_identity_q4_8192,runs\formal_8192\qproj_input_identity_q4_8192.json,False,False,q_proj_input,identity,4,none,32,536870912,0.01608093403838773,0.0034604007019147847,0.0,,,,,,,6.2056142958343115,6.195575096408451,0.010039199425860623,8192,0,2048,1.1196247809566557,7316.736945568855,512,32,/home/wangmeiqi/zjh/meta-llama/Llama-2-7b-hf,32,32,False,True,False
