data_model,cache_kind,sequence_length,energy_definition,energy_threshold,samples,zero_based_index_mean,zero_based_index_std,required_components_mean,required_components_std,total_components_mean,total_components_std,true_required_component_fraction_mean,true_required_component_fraction_std,historical_plot_label_fraction_mean,historical_plot_label_fraction_std,historical_label_understatement_mean,historical_label_understatement_std
smooth_dct_decay_positive_control,K,64,dct_ii_ortho,0.99,5,11,0,12,0,64,0,0.1875,0,0.171875,0,0.015625,0
smooth_dct_decay_positive_control,K,64,rfft_historical_unweighted,0.9,5,3,0,4,0,33,0,0.121212121212,0,0.0909090909091,0,0.030303030303,0
smooth_dct_decay_positive_control,K,64,rfft_historical_unweighted,0.95,5,4.4,0.489897948557,5.4,0.489897948557,33,0,0.163636363636,0.0148453923805,0.133333333333,0.0148453923805,0.030303030303,0
smooth_dct_decay_positive_control,K,64,rfft_historical_unweighted,0.99,5,11.4,0.489897948557,12.4,0.489897948557,33,0,0.375757575758,0.0148453923805,0.345454545455,0.0148453923805,0.030303030303,0
smooth_dct_decay_positive_control,K,64,rfft_parseval,0.9,5,3.4,0.489897948557,4.4,0.489897948557,33,0,0.133333333333,0.0148453923805,0.10303030303,0.0148453923805,0.030303030303,0
smooth_dct_decay_positive_control,K,64,rfft_parseval,0.95,5,5,0,6,0,33,0,0.181818181818,0,0.151515151515,0,0.030303030303,0
smooth_dct_decay_positive_control,K,64,rfft_parseval,0.99,5,14.2,0.4,15.2,0.4,33,0,0.460606060606,0.0121212121212,0.430303030303,0.0121212121212,0.030303030303,0
smooth_dct_decay_positive_control,V,128,dct_ii_ortho,0.9,5,5,0,6,0,128,0,0.046875,0,0.0390625,0,0.0078125,0
smooth_dct_decay_positive_control,V,128,dct_ii_ortho,0.95,5,7,0,8,0,128,0,0.0625,0,0.0546875,0,0.0078125,0
smooth_dct_decay_positive_control,V,128,dct_ii_ortho,0.99,5,11,0,12,0,128,0,0.09375,0,0.0859375,0,0.0078125,0
smooth_dct_decay_positive_control,V,128,rfft_historical_unweighted,0.9,5,3,0,4,0,65,0,0.0615384615385,0,0.0461538461538,0,0.0153846153846,0
smooth_dct_decay_positive_control,V,128,rfft_historical_unweighted,0.95,5,4,0,5,0,65,0,0.0769230769231,0,0.0615384615385,0,0.0153846153846,0
smooth_dct_decay_positive_control,V,128,rfft_historical_unweighted,0.99,5,12.2,0.748331477355,13.2,0.748331477355,65,0,0.203076923077,0.0115127919593,0.187692307692,0.0115127919593,0.0153846153846,0
smooth_dct_decay_positive_control,V,128,rfft_parseval,0.9,5,3.4,0.489897948557,4.4,0.489897948557,65,0,0.0676923076923,0.00753689151626,0.0523076923077,0.00753689151626,0.0153846153846,0
